url,titleen,budget,boxdom,boxint,boxtot
https://www.boxofficemojo.com/search/?q=Aladdin,Aladdin,"$183,000,000","$355,559,216","$695,134,737","$1,050,693,953"
https://www.boxofficemojo.com/search/?q=Sauver+ou+perir,Through the Fire,nan,"The heartbreaking hero's journey and true story of a Paris fireman, husband and dad.","$8,123,764","$8,123,764"
https://www.boxofficemojo.com/search/?q=North+by+Northwest,North by Northwest,nan,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"$73,695","$73,695"
https://www.boxofficemojo.com/search/?q=Patients,Step by Step,nan,"Patients is the story of a rebirth, a chaotic journey of victories and defeats, tears and bursts of laughter, but above all encounters: we do not heal alone.","$8,700,784","$8,700,784"
https://www.boxofficemojo.com/search/?q=Wonder,Wonder,nan,"$132,422,809","$173,517,797","$305,940,606"
https://www.boxofficemojo.com/search/?q=L'Armee+des+Ombres,Army of Shadows,nan,"$771,956","$68,766","$840,722"
https://www.boxofficemojo.com/search/?q=Casino,Casino,nan,"$42,512,375","$73,600,000","$116,112,375"
https://www.boxofficemojo.com/search/?q=Into+the+Wild,Into the Wild,nan,"$18,354,356","$38,321,539","$56,675,895"
https://www.boxofficemojo.com/search/?q=The+Theory+of+Everything,The Theory of Everything,"$15,000,000","$35,893,537","$87,833,151","$123,726,688"
https://www.boxofficemojo.com/search/?q=Gone+Girl,Gone Girl,"$61,000,000","$167,767,189","$201,563,174","$369,330,363"
https://www.boxofficemojo.com/search/?q=Dead+Poets+Society,Dead Poets Society,nan,"$95,860,116","$140,000,000","$235,860,116"
https://www.boxofficemojo.com/search/?q=Tenki+no+Ko,Weathering with You,nan,"$7,798,743","$185,663,603","$193,462,346"
https://www.boxofficemojo.com/search/?q=Ma+Vie+De+Courgette,My Life as a Zucchini,nan,"$309,766","$5,563,490","$5,873,256"
https://www.boxofficemojo.com/search/?q=Back+to+the+Future+Part+II,Back to the Future Part II,"$40,000,000","$119,000,002","$213,500,000","$331,950,002"
https://www.boxofficemojo.com/search/?q=Dances+with+Wolves,Dances with Wolves,"$22,000,000","$184,208,848","$240,000,000","$424,208,848"
https://www.boxofficemojo.com/search/?q=The+Gold+Rush,The Gold Rush,nan,A prospector goes to the Klondike in search of gold and finds it and more.,"$26,916","$26,916"
https://www.boxofficemojo.com/search/?q=It's+a+Wonderful+Life,It's a Wonderful Life,nan,"$44,000","$6,140,298","$6,184,298"
https://www.boxofficemojo.com/search/?q=Tenku+no+shiro+Rapyuta,Castle in the Sky,nan,"$523,664","$5,516,357","$6,040,021"
https://www.boxofficemojo.com/search/?q=Dofus+-+Livre+1+:+Julith,Dofus - Livre 1: Julith,nan,"The strange little guy in the blue hood is well known to Krosmoz. His name is Joris and he's proposing to take you on a fantastic adventure. Our hero is leading a happy life in his magic shop in the city of Bonta. But one day, when he seeks out his idol, a Gobbowl superstar, everything changes for the worst as Julith, the vengeful witch, is back in town!","$13,804","$13,804"
https://www.boxofficemojo.com/search/?q=Harry+Potter+and+the+Deathly+Hallows+-+Part+2,Harry Potter and the Deathly Hallows: Part 2,nan,"$381,409,310","$960,814,625","$1,342,223,936"
https://www.boxofficemojo.com/search/?q=Forrest+Gump,Forrest Gump,"$55,000,000","$330,455,270","$347,770,863","$678,226,133"
https://www.boxofficemojo.com/search/?q=Raging+Bull,Raging Bull,nan,"$23,383,987","$18,440","$23,402,427"
https://www.boxofficemojo.com/search/?q=Koe+no+katachi,A Silent Voice: The Movie,nan,"$644,391","$29,846,056","$30,490,447"
https://www.boxofficemojo.com/search/?q=Room,Room,nan,"$14,677,654","$20,724,104","$35,401,758"
https://www.boxofficemojo.com/search/?q=Inside+Out,Inside Out,"$175,000,000","$356,921,711","$501,149,639","$858,071,350"
https://www.boxofficemojo.com/search/?q=The+Truman+Show,The Truman Show,nan,"$125,618,201","$138,500,000","$264,118,201"
https://www.boxofficemojo.com/search/?q=Heat,Heat,nan,"$67,436,818","$120,000,000","$187,436,818"
https://www.boxofficemojo.com/search/?q=Kaguya-hime+no+monogatari,The Tale of The Princess Kaguya,nan,"$974,913","$23,731,253","$24,706,166"
https://www.boxofficemojo.com/search/?q=City+Lights,City Lights,nan,"$19,181","$26,827","$46,008"
https://www.boxofficemojo.com/search/?q=Incendies,Incendies,"$6,800,000","$2,071,334","$5,028,264","$7,099,598"
https://www.boxofficemojo.com/search/?q=Paths+of+Glory,Paths of Glory,nan,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","$5,252","$5,252"
https://www.boxofficemojo.com/search/?q=Prisoners,Prisoners,"$46,000,000","$61,002,302","$61,124,385","$122,126,687"
https://www.boxofficemojo.com/search/?q=The+Kid,The Kid,nan,"$1,508,593","$53,105","$1,561,698"
https://www.boxofficemojo.com/search/?q=Shutter+Island,Shutter Island,"$80,000,000","$128,012,934","$166,792,763","$294,805,697"
https://www.boxofficemojo.com/search/?q=How+To+Train+Your+Dragon:+The+Hidden+World,How to Train Your Dragon: The Hidden World,"$129,000,000","$160,799,505","$363,584,144","$524,383,649"
https://www.boxofficemojo.com/search/?q=Jirai+mourir+dans+les+Carpates,J'irai Mourir Dans Les Carpates,nan," after a car accident . His editor, Agnès, tries to find him thanks to the pictures of his trip.","$715,963","$715,963"
https://www.boxofficemojo.com/search/?q=Avengers:+Infinity+War,Avengers: Infinity War,nan,"$678,815,482","$1,369,544,272","$2,048,359,754"
https://www.boxofficemojo.com/search/?q=Ford+v.+Ferrari,Ford v Ferrari,"$97,600,000","$117,624,357","$107,883,853","$225,508,210"
https://www.boxofficemojo.com/search/?q=Edward+Scissorhands,Edward Scissorhands,nan,"$56,362,352","$29,661,653","$86,024,005"
https://www.boxofficemojo.com/search/?q=Bakemono+No+Ko,The Boy and the Beast,nan,"$490,643","$49,278,001","$49,768,644"
https://www.boxofficemojo.com/search/?q=Alien,Alien,"$11,000,000","$81,900,459","$24,385,063","$106,285,522"
https://www.boxofficemojo.com/search/?q=1917,1917,"$95,000,000","$159,227,644","$225,688,168","$384,915,812"
https://www.boxofficemojo.com/search/?q=The+Help,The Help,"$25,000,000","$169,708,112","$46,931,000","$216,639,112"
https://www.boxofficemojo.com/search/?q=Indiana+Jones+and+the+Last+Crusade,Indiana Jones and the Last Crusade,"$48,000,000","$197,171,806","$277,000,000","$474,171,806"
https://www.boxofficemojo.com/search/?q=Reservoir+Dogs,Reservoir Dogs,"$1,200,000","$2,832,029","$58,386","$2,890,415"
https://www.boxofficemojo.com/search/?q=The+Godfather:+Part+II,The Godfather: Part II,"$13,000,000","$47,834,595","$201,188","$48,035,783"
https://www.boxofficemojo.com/search/?q=Toy+Story+3,Toy Story 3,"$200,000,000","$415,004,880","$651,965,931","$1,066,970,811"
https://www.boxofficemojo.com/search/?q=Leon,Léon: The Professional,nan,"$19,501,238","$51,401","$19,552,639"
