titleint,boxdom,boxint,boxtot
Saving Mr. Banks,"$83,301,580","$34,566,404","$117,867,984"
Terminator 2: Judgment Day,"$205,881,154","$312,106,698","$520,881,154"
Lone Survivor,"$125,095,601","$29,707,311","$154,802,912"
Loving Vincent,"$6,735,118","$35,452,547","$42,187,665"
Kubo and the Two Strings,"$48,023,088","$28,226,350","$76,249,438"
Manchester by the Sea,"$47,695,371","$31,292,777","$78,988,148"
Kill Bill: Vol. 1,"$70,099,045","$110,800,220","$180,899,265"
Fantastic Mr. Fox,"$21,002,919","$25,470,426","$46,473,345"
A Fistful of Dollars,"$14,500,000","$16,248","$14,516,248"
Just Mercy,"$36,001,502","$14,400,000","$50,401,502"
The Avengers,"$623,357,910","$895,457,605","$1,518,815,515"
Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918","$348,850,097","$654,264,015"
Metropolis,"$1,236,166","$113,545","$1,349,711"
The Hobbit: The Desolation of Smaug,"$258,366,855","$700,000,000","$958,366,855"
Me Before You,"$56,245,075","$152,069,111","$208,314,186"
A Bag of Marbles,"$411,318","$10,487,680","$10,898,998"
The Lives of Others,"$11,286,112","$66,070,830","$77,356,942"
La La Land,"$151,101,803","$297,762,541","$448,864,344"
Blade Runner,"$32,868,943","$8,803,219","$41,672,162"
